title,price,district,location,link
1-комнатная квартира · 35 м² · 13/16 этаж,22 500 000 〒,Хусейн бен Талал 41 — Қасым Қайсенов,"Есильский р-н, Хусейн бен Талал 41 — Қасым Қайсенов",https://krisha.kz/a/show/761644798
2-комнатная квартира · 56.1 м² · 2/9 этаж,23 000 000 〒,Мустафина 21/4 — Кудайбердіұлы,"Алматы р-н, Мустафина 21/4 — Кудайбердіұлы",https://krisha.kz/a/show/761563427
1-комнатная квартира · 35 м² · 6/12 этаж,20 000 000 〒,Ж. Нажимеденова 62 — А62,"Сарайшык р-н, Ж. Нажимеденова 62 — А62",https://krisha.kz/a/show/761007533
4-комнатная квартира · 78 м² · 1/5 этаж,35 000 000 〒,Манаса 11/1,"Алматы р-н, Манаса 11/1",https://krisha.kz/a/show/760039620
1-комнатная квартира · 24 м² · 1/7 этаж,13 500 000 〒,е 489,"Есильский р-н, е 489",https://krisha.kz/a/show/761640603
2-комнатная квартира · 48.55 м²,от 25 051 800 〒,Е 915 12,"Есильский р-н, Е 915 12",https://krisha.kz/a/show/762070322
4-комнатная квартира · 94.27 м²,от 44 778 250 〒,Сыганак 12,"Нура р-н, Сыганак 12",https://krisha.kz/a/show/699980009
1-комнатная квартира · 39.7 м²,от 11 910 000 〒,М. Тынышбайулы 5,"Алматы р-н, М. Тынышбайулы 5",https://krisha.kz/a/show/691414689
3-комнатная квартира · 103.9 м²,от 44 677 000 〒,Толе би 53,"Нура р-н, Толе би 53",https://krisha.kz/a/show/679156757
2-комнатная квартира · 61.35 м²,от 28 711 800 〒,Е 103 5,"Нура р-н, Е 103 5",https://krisha.kz/a/show/760083877
3-комнатная квартира · 104.02 м²,от 71 773 800 〒,Толе би 52,"Нура р-н, Толе би 52",https://krisha.kz/a/show/688329607
1-комнатная квартира · 44.51 м²,от 36 720 750 〒,Толе би 52,"Нура р-н, Толе би 52",https://krisha.kz/a/show/688329595
3-комнатная квартира · 92.79 м²,от 38 971 800 〒,Култегин 17,"Нура р-н, Култегин 17",https://krisha.kz/a/show/679180519
3-комнатная квартира · 102.3 м² · 12/12 этаж,48 000 000 〒,Айтматова 40 — Мухамедханова,Айтматова 40 — Мухамедханова,https://krisha.kz/a/show/761006395
2-комнатная квартира · 65 м² · 6/9 этаж,26 500 000 〒,Байтурсынова 47/1 — А426,Байтурсынова 47/1 — А426,https://krisha.kz/a/show/761924160
3-комнатная квартира · 131 м² · 3/14 этаж,130 000 000 〒,Сарайшык 34а — Байтерек,"Есильский р-н, Сарайшык 34а — Байтерек",https://krisha.kz/a/show/761399398
2-комнатная квартира · 51 м² · 8/12 этаж,22 500 000 〒,Каршыга Ахмедьярова 2,"Алматы р-н, Каршыга Ахмедьярова 2",https://krisha.kz/a/show/761141507
2-комнатная квартира · 50 м² · 11/14 этаж,28 700 000 〒,Бектурова 17,Бектурова 17,https://krisha.kz/a/show/760727391
2-комнатная квартира · 60 м² · 4/9 этаж,24 000 000 〒,А. Байтурсынова 40 — Нурлы жол,"Алматы р-н, А. Байтурсынова 40 — Нурлы жол",https://krisha.kz/a/show/696822830
2-комнатная квартира · 52.92 м²,от 31 752 000 〒,Е 915 12,"Есильский р-н, Е 915 12",https://krisha.kz/a/show/762070324
3-комнатная квартира · 85.35 м²,от 45 406 200 〒,Анет Баба 4,"Нура р-н, Анет Баба 4",https://krisha.kz/a/show/686616905
1-комнатная квартира · 37.6 м²,от 9 400 000 〒,Н. Тлендиева 52,"Сарыарка р-н, Н. Тлендиева 52",https://krisha.kz/a/show/682522512
2-комнатная квартира · 66.88 м²,от 23 742 400 〒,Туран 89,"Нура р-н, Туран 89",https://krisha.kz/a/show/675081052
2-комнатная квартира · 48.7 м² · 5/12 этаж,23 800 000 〒,А91 23 — Байтурсын  көшесі,"Алматы р-н, А91 23 — Байтурсын  көшесі",https://krisha.kz/a/show/762003837
1-комнатная квартира · 41 м² · 12/15 этаж,25 000 000 〒,Туркестан 10,"Есильский р-н, Туркестан 10",https://krisha.kz/a/show/761121249
3-комнатная квартира · 95 м² · 11/12 этаж,72 000 000 〒,Бокейхана 40 — Кекилбаева,"Есильский р-н, Бокейхана 40 — Кекилбаева",https://krisha.kz/a/show/699753575
1-комнатная квартира · 38.9 м² · 6/8 этаж,25 350 000 〒,Улы дала 67 — Кайсенова,"Есильский р-н, Улы дала 67 — Кайсенова",https://krisha.kz/a/show/697269210
2-комнатная квартира · 51 м² · 5/10 этаж,35 000 000 〒,Туркестан 10,"Есильский р-н, Туркестан 10",https://krisha.kz/a/show/1000101765
2-комнатная квартира · 52.61 м²,от 28 935 500 〒,А-191 4,"Сарайшык р-н, А-191 4",https://krisha.kz/a/show/699607415
2-комнатная квартира · 70.59 м²,от 48 354 150 〒,Е-899 3,"Нура р-н, Е-899 3",https://krisha.kz/a/show/697969337
2-комнатная квартира · 66.39 м²,от 19 917 000 〒,М. Тынышбайулы 5,"Алматы р-н, М. Тынышбайулы 5",https://krisha.kz/a/show/691414695
2-комнатная квартира · 63.64 м²,от 29 783 520 〒,Е-321 6/2,"Есильский р-н, Е-321 6/2",https://krisha.kz/a/show/761715827
3-комнатная квартира · 93.18 м²,от 33 544 800 〒,Е117,"Есильский р-н, Е117",https://krisha.kz/a/show/690650297
3-комнатная квартира · 107 м² · 11/19 этаж,51 000 000 〒,Кенесары 8 — Сары-Арка,"Алматы р-н, Кенесары 8 — Сары-Арка",https://krisha.kz/a/show/1000303693
3-комнатная квартира · 68.25 м² · 4/10 этаж,22 522 500 〒,Караменде би Шакаулы 13,"Сарыарка р-н, Караменде би Шакаулы 13",https://krisha.kz/a/show/1000159164
3-комнатная квартира · 80 м² · 2/9 этаж,48 900 000 〒,52/1 — Кабанбай батыр,"Сыганак 52, 52/1 — Кабанбай батыр",https://krisha.kz/a/show/761989064
3-комнатная квартира · 80 м² · 5/10 этаж,62 900 000 〒,Кайым Мухамедханова 6Б — Хан Шатыр,Кайым Мухамедханова 6Б — Хан Шатыр,https://krisha.kz/a/show/761989290
2-комнатная квартира · 40.8 м² · 3/9 этаж,26 000 000 〒,Е 496 — Напротив Центральной Мечети по Мангелик Ел,"Алматы р-н, Е 496 — Напротив Центральной Мечети по Мангелик Ел",https://krisha.kz/a/show/761934923
3-комнатная квартира · 77 м² · 15/18 этаж,50 900 000 〒,Спорт Комплекс Казахстан,"Туран 57г — Ботанический сад, Барыс Арена, Астана Арена, Спорт Комплекс Казахстан",https://krisha.kz/a/show/762196093
2-комнатная квартира · 42.5 м² · 7/16 этаж,27 500 000 〒,Хусейн бен талал 39/1,"Есильский р-н, Хусейн бен талал 39/1",https://krisha.kz/a/show/760468972
1-комнатная квартира · 45 м² · 13/17 этаж,18 500 000 〒,Кудайбердыулы 33,"Алматы р-н, Кудайбердыулы 33",https://krisha.kz/a/show/698338819
2-комнатная квартира · 87 м² · 1/9 этаж,41 999 999 〒,Каршыга Ахмедьярова 3,"Алматы р-н, Каршыга Ахмедьярова 3",https://krisha.kz/a/show/695327771
3-комнатная квартира · 85 м² · 10/14 этаж,69 000 000 〒,Толе би 61 — ТРЦ ХАН ШАТЫР,"Нура р-н, Толе би 61 — ТРЦ ХАН ШАТЫР",https://krisha.kz/a/show/694098072
2-комнатная квартира · 56.81 м² · 8/12 этаж,22 500 000 〒,Айтматова — Е164 улица,"Есильский р-н, Айтматова — Е164 улица",https://krisha.kz/a/show/677454337
3-комнатная квартира · 77.4 м² · 8/9 этаж,23 500 000 〒,А102,"Алматы р-н, А102",https://krisha.kz/a/show/760523904
2-комнатная квартира · 53.9 м² · 5/25 этаж,22 000 000 〒,Абая,"р-н Байконур, Абая",https://krisha.kz/a/show/1000350635
3-комнатная квартира · 85.95 м²,от 39 794 850 〒,Е-15 5,"Нура р-н, Е-15 5",https://krisha.kz/a/show/762069303
2-комнатная квартира · 64.4 м²,от 24 150 000 〒,Шаймерденова 4/3,"Алматы р-н, Шаймерденова 4/3",https://krisha.kz/a/show/682885990
2-комнатная квартира · 66 м² · 10/15 этаж,32 500 000 〒,А.Байтұрсынұлы 42/2 — А 98,"Алматы р-н, А.Байтұрсынұлы 42/2 — А 98",https://krisha.kz/a/show/762213517
2-комнатная квартира · 58.79 м² · 5/12 этаж,29 800 000 〒,Байтурсынова 47 — А426,"Алматы р-н, Байтурсынова 47 — А426",https://krisha.kz/a/show/761821333
1-комнатная квартира · 44 м² · 5/14 этаж,20 500 000 〒,Бауыржан Момышулы 16 — Ул.Аманат,"Алматы р-н, Бауыржан Момышулы 16 — Ул.Аманат",https://krisha.kz/a/show/761268314
1-комнатная квартира · 36.3 м² · 8/9 этаж,18 500 000 〒,Байтурсынова 39/2 — Жургенова,"Алматы р-н, Байтурсынова 39/2 — Жургенова",https://krisha.kz/a/show/760743330
4-комнатная квартира · 157 м² · 3/9 этаж,147 000 000 〒,Сауран 19 — Находится напротив горсуда рядом с Ботаническим парком,"Есильский р-н, Сауран 19 — Находится напротив горсуда рядом с Ботаническим парком",https://krisha.kz/a/show/760630105
3-комнатная квартира · 68.3 м² · 5/12 этаж,33 500 000 〒,проспект Рахимжана Кошкарбаева 50 — Пересечение Жумабаева,"Алматы р-н, проспект Рахимжана Кошкарбаева 50 — Пересечение Жумабаева",https://krisha.kz/a/show/667781166
2-комнатная квартира · 61.17 м²,от 39 638 160 〒,Турар Рыскулов 18/1,"Есильский р-н, Турар Рыскулов 18/1",https://krisha.kz/a/show/760288533
3-комнатная квартира · 118.79 м²,от 60 582 900 〒,А-191 4,"Сарайшык р-н, А-191 4",https://krisha.kz/a/show/760981875
3-комнатная квартира · 100.8 м²,от 69 249 600 〒,Е-899 33,"Нура р-н, Е-899 33",https://krisha.kz/a/show/697969342
4-комнатная квартира · 122.85 м²,от 66 461 850 〒,Туран 57/5,"Нура р-н, Туран 57/5",https://krisha.kz/a/show/696165793
1-комнатная квартира · 31.7 м²,от 7 925 000 〒,Н. Тлендиева 52,"Сарыарка р-н, Н. Тлендиева 52",https://krisha.kz/a/show/675971511
1-комнатная квартира · 40.85 м²,от 18 421 200 〒,15/3,"Есильский р-н, Е-321 17/3,17/2, 17/1, 15/1, 15/2, 15/3",https://krisha.kz/a/show/677730586
3-комнатная квартира · 87.3 м² · 3/9 этаж,37 900 000 〒,Керей и  Жанибек хандар,"Есильский р-н, Керей и  Жанибек хандар",https://krisha.kz/a/show/760923432
3-комнатная квартира · 69.76 м² · 2/9 этаж,44 500 000 〒,Сыганак,"Есильский р-н, Сыганак",https://krisha.kz/a/show/762352601
2-комнатная квартира · 70 м² · 2/8 этаж,54 500 000 〒,Умай Ана 15 — Коргалжынское шоссе,"Есильский р-н, Умай Ана 15 — Коргалжынское шоссе",https://krisha.kz/a/show/762228526
4-комнатная квартира · 112 м² · 10/16 этаж,57 600 000 〒,44/1 44/1,"Есильский р-н, 44/1 44/1",https://krisha.kz/a/show/760299747
2-комнатная квартира · 52 м² · 5/9 этаж,23 000 000 〒,Кудайбердыулы 32,"Алматы р-н, Кудайбердыулы 32",https://krisha.kz/a/show/685573496
2-комнатная квартира · 57.8 м² · 16/18 этаж,24 500 000 〒,К.Азербаева 47 — Қошқарбаева,"Алматы р-н, К.Азербаева 47 — Қошқарбаева",https://krisha.kz/a/show/685522392
2-комнатная квартира · 59 м² · 11/20 этаж,26 500 000 〒,Жумекена Нажимеденова 13/1,"Алматы р-н, Жумекена Нажимеденова 13/1",https://krisha.kz/a/show/680819260
4-комнатная квартира · 115.25 м²,от 61 543 500 〒,Турар Рыскулов 18/5,"Есильский р-н, Турар Рыскулов 18/5",https://krisha.kz/a/show/760415901
1-комнатная квартира · 40.57 м²,от 27 425 320 〒,Турар Рыскулов 18/5,"Есильский р-н, Турар Рыскулов 18/5",https://krisha.kz/a/show/760412469
4-комнатная квартира · 131.66 м²,от 76 889 440 〒,Турар Рыскулов 18/1,"Есильский р-н, Турар Рыскулов 18/1",https://krisha.kz/a/show/760697931
3-комнатная квартира · 88.29 м²,от 59 772 330 〒,Бухар Жырау 33,"Есильский р-н, Бухар Жырау 33",https://krisha.kz/a/show/694707426
4-комнатная квартира · 130.64 м²,от 60 812 920 〒,Сыганак,"Нура р-н, Сыганак",https://krisha.kz/a/show/688589237
4-комнатная квартира · 111.7 м²,от 47 166 000 〒,15/3,"Есильский р-н, Е-321 17/3,17/2, 17/1, 15/1, 15/2, 15/3",https://krisha.kz/a/show/677730590
2-комнатная квартира · 62.6 м²,от 26 292 000 〒,Е-430 3,"Нура р-н, Е-430 3",https://krisha.kz/a/show/697435941
3-комнатная квартира · 100.8 м²,от 77 817 600 〒,Мангилик Ел 36,"Есильский р-н, Мангилик Ел 36",https://krisha.kz/a/show/691924184
1-комнатная квартира · 45 м²,от 20 250 000 〒,Култегин 17,"Нура р-н, Култегин 17",https://krisha.kz/a/show/677885333
3-комнатная квартира · 72.9 м² · 2/6 этаж,30 000 000 〒,Пушкина 2/1 — Гребной канал,"р-н Байконур, Пушкина 2/1 — Гребной канал",https://krisha.kz/a/show/762096650
4-комнатная квартира · 157 м² · 14/20 этаж,124 900 000 〒,Жумекен Нажимеденов 2,"Алматы р-н, Жумекен Нажимеденов 2",https://krisha.kz/a/show/697481675
1-комнатная квартира · 38.9 м² · 6/16 этаж,20 900 000 〒,Аль-Фараби 38/2 — Улы Дала,"Есильский р-н, Аль-Фараби 38/2 — Улы Дала",https://krisha.kz/a/show/686445150
2-комнатная квартира · 41 м² · 8/9 этаж,29 300 000 〒,школа для одаренных детей 9,"Нура р-н, Толе Би 35/1 — Зерде, школа для одаренных детей 9",https://krisha.kz/a/show/1000271977
2-комнатная квартира · 62.8 м²,от 30 100 000 〒,Е-36 5,"Нура р-н, Е-36 5",https://krisha.kz/a/show/683963226
1-комнатная квартира · 46.2 м²,от 33 726 000 〒,Туран 39а,"Нура р-н, Туран 39а",https://krisha.kz/a/show/680907000
1-комнатная квартира · 40.25 м²,от 16 171 404 〒,Е-429 14,"Нура р-н, Е-429 14",https://krisha.kz/a/show/684477665
3-комнатная квартира · 85.35 м²,от 32 006 250 〒,Е 103 5,"Нура р-н, Е 103 5",https://krisha.kz/a/show/760406395
2-комнатная квартира · 64.5 м²,от 28 380 000 〒,Шамши Калдаяков 55а,"Сарайшык р-н, Шамши Калдаяков 55а",https://krisha.kz/a/show/699520783
3-комнатная квартира · 70.3 м² · 8/11 этаж,34 700 000 〒,Бектурова 4,"Есильский р-н, Бектурова 4",https://krisha.kz/a/show/762099881
3-комнатная квартира · 78.3 м² · 18/23 этаж,31 000 000 〒,Байтурсынова 12 — Тауелсиздик,"Алматы р-н, Байтурсынова 12 — Тауелсиздик",https://krisha.kz/a/show/699147494
3-комнатная квартира · 108.73 м²,от 58 714 200 〒,Бухар жырау 57/6,"Нура р-н, Бухар жырау 57/6",https://krisha.kz/a/show/698216668
3-комнатная квартира · 72.49 м²,от 40 376 930 〒,Е-321 6/2,"Есильский р-н, Е-321 6/2",https://krisha.kz/a/show/761716484
1-комнатная квартира · 35.21 м²,от 13 379 800 〒,Е117,"Есильский р-н, Е117",https://krisha.kz/a/show/678784709
3-комнатная квартира · 85.5 м²,от 21 375 000 〒,Н. Тлендиева 52,"Сарыарка р-н, Н. Тлендиева 52",https://krisha.kz/a/show/694458132
3-комнатная квартира · 104.3 м²,от 44 849 000 〒,Толе би 53,"Нура р-н, Толе би 53",https://krisha.kz/a/show/679156766
2-комнатная квартира · 64 м² · 4/12 этаж,24 000 000 〒,Шапагат,"Сарыарка р-н, Дукенулы 38 — Возле оптовки Сарыарка и Асем,Шапагат",https://krisha.kz/a/show/1000389772
2-комнатная квартира · 61 м² · 12/12 этаж,36 500 000 〒,Байтурсынова 47/2,"Алматы р-н, Байтурсынова 47/2",https://krisha.kz/a/show/761422022
1-комнатная квартира · 48 м² · 19/20 этаж,24 700 000 〒,Мега Silk Way,"Есильский р-н, Мангилик Ел — Онгарсынова, первая линия на Мангелик Ел, рядом Экспо, Мега Silk Way",https://krisha.kz/a/show/761101366
2-комнатная квартира · 50 м² · 3/9 этаж,25 500 000 〒,Е 496 7,"Есильский р-н, Е 496 7",https://krisha.kz/a/show/1000180465
2-комнатная квартира · 43 м² · 13/22 этаж,24 500 000 〒,Чингиз Айтматов 34 — Пересечение Сыганак и Айтматова,"Нура р-н, Чингиз Айтматов 34 — Пересечение Сыганак и Айтматова",https://krisha.kz/a/show/761925957
